"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"COL6A2",1.6005593046945e-47,-1.33462160671876,0.022,0.119,2.53816694538453e-43
"YBX1",1.662590715009e-47,-0.326237947842559,0.854,0.904,2.63653635586127e-43
"SMPD1",1.85232259774845e-47,0.261784716468444,0.587,0.416,2.9374131755095e-43
"MORF4L2",2.2910827051022e-47,0.26672370062426,0.624,0.465,3.63319895375107e-43
"PALLD",4.78503487303868e-47,-0.641772781257573,0.273,0.406,7.58810830166473e-43
"AP2B1",4.98703306443192e-47,0.304914792066274,0.674,0.519,7.90843703357614e-43
"MT1E",6.7468423220368e-47,-0.546098778510081,0.113,0.249,1.0699142554286e-42
"ATP6V1B2",9.00544781877606e-47,0.281079939853167,0.467,0.307,1.42808391510151e-42
"CXCL16",1.20329059340767e-46,-0.328029429901123,0.065,0.182,1.90817822302589e-42
"SHMT2",1.9569991371363e-46,-0.257043495908069,0.12,0.256,3.10340923167075e-42
"C12orf57",3.64243683799189e-46,0.309965284399617,0.684,0.55,5.77617633768753e-42
"PAIP2",5.07585803393427e-46,0.265506384169973,0.473,0.318,8.04929567021297e-42
"DAD1",5.84730108330442e-46,0.270937785316241,0.455,0.305,9.27265005790414e-42
"PPP1R18",6.07423406786008e-46,-0.259302971044817,0.048,0.16,9.63252038481251e-42
"NUTF2",6.73848044968521e-46,-0.262434343316589,0.198,0.345,1.06858822971108e-41
"EIF2AK1",1.01882624862891e-45,0.264179083335885,0.427,0.278,1.61565466507572e-41
"CLDN7",1.21156654142546e-45,-0.485323235775721,0.591,0.654,1.92130222139249e-41
"TSTD1",1.35135686368953e-45,0.255458120382605,0.551,0.394,2.14298171443886e-41
"STRAP",1.36826281665932e-45,0.268091974672058,0.541,0.386,2.16979117465835e-41
"CMAS",1.63424202249828e-45,0.262846222594456,0.359,0.216,2.59158099927777e-41
"FGFR1",1.63587985260989e-45,-0.341804291849354,0.309,0.464,2.59417827026876e-41
"SEPN1",2.87395242706918e-45,-0.262146318911057,0.179,0.325,4.5575137588463e-41
"SBDS",5.06625595740511e-45,0.288672743358588,0.59,0.439,8.03406869725302e-41
"HNRNPA2B1",6.04521532798607e-45,-0.33119828508923,0.613,0.725,9.58650246712031e-41
"SSR1",6.9313672135307e-45,0.286300719842827,0.602,0.453,1.0991762127217e-40
"ETS2",7.99280753346442e-45,-0.48209630805451,0.156,0.287,1.26749941865679e-40
"COL6A1",1.45026701487513e-44,-1.20040896245573,0.075,0.191,2.29983343218898e-40
"NME4",1.89547164896623e-44,-0.298126760539346,0.25,0.398,3.00583894093065e-40
"APRT",2.72039083901234e-44,-0.287381840778339,0.274,0.422,4.31399579250577e-40
"EPRS",2.93732535811643e-44,0.265930867071844,0.445,0.298,4.65801055290103e-40
"MYL6",3.60887969190042e-44,-0.321522466665441,0.945,0.957,5.72296141541569e-40
"EIF4A1",5.05009218395558e-44,-0.321084398691724,0.383,0.52,8.00843618531675e-40
"COX14",6.67778265476267e-44,0.255293227757771,0.631,0.479,1.05896277339226e-39
"GUK1",9.26434402365661e-44,0.260273423112599,0.817,0.71,1.46913967527147e-39
"MORF4L1",1.37459391421343e-43,0.268464490378359,0.87,0.754,2.17983102915966e-39
"SYNGR2",2.33146711596366e-43,-0.364543017083625,0.472,0.595,3.69724055249517e-39
"COL1A1",3.62455273261342e-43,-2.39020538780795,0.031,0.127,5.74781572337836e-39
"TRMT112",5.26329922151461e-43,0.273190496881515,0.755,0.632,8.34653990547787e-39
