"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"UCHL1",5.56639733274739e-164,-1.76807139035002,0.101,0.593,8.82719289027081e-160
"PARM1",6.5369043611439e-164,-1.13554888073017,0.041,0.548,1.0366222935902e-159
"DBN1",2.6379274000649e-163,0.579471209344597,0.409,0.095,4.18322527102291e-159
"UBALD2",3.17795354487173e-163,0.809365939101739,0.67,0.276,5.03959873145759e-159
"SERPINA1",2.42049727352717e-162,1.22312649687073,0.873,0.394,3.83842457635939e-158
"CLDN7",3.69186758383444e-162,0.949772866911946,0.889,0.606,5.85456361444466e-158
"LMTK3",8.06876725035795e-162,0.290812034005645,0.182,0.014,1.27954511056176e-157
"ETS2",9.77275443521809e-162,0.836132915909452,0.606,0.207,1.54976339833688e-157
"ABTB2",1.7245974262935e-161,0.303698305668547,0.182,0.014,2.73486659861624e-157
"NFKBIZ",1.60223190504852e-160,0.880900358119297,0.543,0.175,2.54081935502595e-156
"MAFF",2.7600448779021e-160,0.769121570086257,0.495,0.143,4.37687916737714e-156
"IL1A",3.76089521673603e-160,0.336611337142352,0.118,0.003,5.96402763469999e-156
"SVIL",1.74710161376557e-159,0.405573735878029,0.26,0.036,2.77055373910945e-155
"IGFBP3",2.34399317685896e-159,1.61751087518832,0.371,0.081,3.71710437986294e-155
"HDGF",3.14085875825589e-159,0.948407447594327,0.872,0.581,4.98077381884218e-155
"GAD2",4.58117346273043e-159,-1.84078595298506,0.066,0.564,7.26482487719792e-155
"KRT6B",9.51424758746297e-159,0.473523699050712,0.101,0.001,1.50876938241988e-154
"PPP1R15A",1.28012087063716e-158,0.959411079572503,0.747,0.339,2.0300156766564e-154
"LYPD1",2.33394657267917e-158,0.391109868415944,0.22,0.024,3.70117247495462e-154
